10243|2017-11-24 14:59:31.341125|TOF1|3-140+M3-Test3|2017-02-6|solenoid|ABS-LH2-EMPTY|272397|2017-11-24 16:29:31.387221|
10245|2017-11-24 16:56:38.281283|TOF1|6-140+M3-Test2|2017-02-6|solenoid|ABS-LH2-EMPTY|361649|2017-11-24 18:28:37.759563|
10246|2017-11-24 18:32:01.050072|TOF1|10-140+M3-Test4|2017-02-6|solenoid|ABS-LH2-EMPTY|400599|2017-11-24 19:52:33.477958|
10247|2017-11-24 19:56:38.733011|TOF1|6-140+M3-Test2|2017-02-6|solenoid|ABS-LH2-EMPTY|355482|2017-11-24 21:26:23.668872|
10248|2017-11-24 21:28:42.473280|TOF1|3-140+M3-Test3|2017-02-6|solenoid|ABS-LH2-EMPTY|316692|2017-11-24 22:57:30.505175|
10249|2017-11-24 23:00:22.209149|TOF1|6-140+M3-Test2|2017-02-6|solenoid|ABS-LH2-EMPTY|435656|2017-11-25 00:50:40.395485|
10250|2017-11-25 00:59:05.164488|TOF1|10-140+M3-Test4|2017-02-6|solenoid|ABS-LH2-EMPTY|60668|2017-11-25 01:11:28.289850|
10251|2017-11-25 01:14:13.287102|TOF1|10-140+M3-Test4|2017-02-6|solenoid|ABS-LH2-EMPTY|251072|2017-11-25 01:57:28.126816|
10252|2017-11-25 02:00:01.655565|TOF1|10-140+M3-Test4|2017-02-6|solenoid|ABS-LH2-EMPTY|250483|2017-11-25 02:43:16.353552|
10253|2017-11-25 02:47:56.040317|TOF1|3-140+M3-Test3|2017-02-6|solenoid|ABS-LH2-EMPTY|21485|2017-11-25 02:54:04.196953|
10254|2017-11-25 03:03:52.168270|TOF1|3-140+M3-Test3|2017-02-6|solenoid|ABS-LH2-EMPTY|281412|2017-11-25 04:22:42.602856|
10255|2017-11-25 04:24:47.810320|TOF1|3-140+M3-Test3|2017-02-6|solenoid|ABS-LH2-EMPTY|99948|2017-11-25 04:54:39.261378|
10256|2017-11-25 04:57:32.064081|TOF1|3-140+M3-Test3|2017-02-6|solenoid|ABS-LH2-EMPTY|120865|2017-11-25 05:31:47.789203|
10257|2017-11-25 05:40:58.411755|TOF1|10-140+M3-Test4|2017-02-6|solenoid|ABS-LH2-EMPTY|250522|2017-11-25 06:24:21.570296|
10258|2017-11-25 06:26:32.777721|TOF1|10-140+M3-Test4|2017-02-6|solenoid|ABS-LH2-EMPTY|250560|2017-11-25 07:09:30.302978|
10259|2017-11-25 07:11:24.137165|TOF1|10-140+M3-Test4|2017-02-6|solenoid|ABS-LH2-EMPTY|251802|2017-11-25 07:54:40.210194|
10260|2017-11-25 08:08:28.594602|TOF1|10-140+M3-Test4|2017-02-6|solenoid|ABS-LH2-EMPTY|463558|2017-11-25 09:30:18.582579|
